,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,BCE.TO,CNQ.TO,BCE.TO,CNQ.TO,BCE.TO,CNQ.TO,BCE.TO,CNQ.TO,BCE.TO,CNQ.TO,BCE.TO,CNQ.TO
Date,,,,,,,,,,,,
2020-04-17,56.79471969604492,18.125080108642578,58.47999954223633,18.739999771118164,58.66999816894531,18.84000015258789,57.4900016784668,16.780000686645508,58.459999084472656,17.06999969482422,1575200,9799600
2020-04-20,56.367401123046875,17.496408462524414,58.040000915527344,18.09000015258789,58.41999816894531,18.969999313354492,57.52000045776367,17.040000915527344,57.7599983215332,17.040000915527344,1762700,6115800
2020-04-21,55.05630111694336,17.02248764038086,56.689998626708984,17.600000381469727,57.599998474121094,17.989999771118164,56.650001525878906,17.0,57.56999969482422,17.25,2543000,6600600
2020-04-22,55.54189682006836,18.25081443786621,57.189998626708984,18.8700008392334,57.75,18.979999542236328,56.72999954223633,18.309999465942383,57.66999816894531,18.309999465942383,1362500,5804700
2020-04-23,54.803794860839844,18.753751754760742,56.43000030517578,19.389999389648438,57.290000915527344,20.190000534057617,56.31999969482422,19.270000457763672,57.0,19.309999465942383,1527400,7515800
2020-04-24,54.85235595703125,19.101940155029297,56.47999954223633,19.75,56.66999816894531,19.989999771118164,55.79999923706055,19.1299991607666,56.38999938964844,19.81999969482422,1805000,4527600
2020-04-27,55.376792907714844,19.03423500061035,57.02000045776367,19.68000030517578,57.029998779296875,19.899999618530273,56.380001068115234,18.770000457763672,56.900001525878906,19.350000381469727,1086800,4477800
2020-04-28,55.639015197753906,20.098142623901367,57.290000915527344,20.780000686645508,57.470001220703125,20.940000534057617,56.86000061035156,19.700000762939453,57.470001220703125,19.799999237060547,1205700,4252100
2020-04-29,55.668148040771484,23.367231369018555,57.31999969482422,24.15999984741211,58.119998931884766,24.329999923706055,57.02000045776367,21.75,57.779998779296875,22.0,2364300,8147400
