,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,BCE.TO,CNQ.TO,EDR.TO,BCE.TO,CNQ.TO,EDR.TO,BCE.TO,CNQ.TO,EDR.TO,BCE.TO,CNQ.TO,EDR.TO,BCE.TO,CNQ.TO,EDR.TO,BCE.TO,CNQ.TO,EDR.TO
Date,,,,,,,,,,,,,,,,,,
2019-10-25,56.647972106933594,30.909801483154297,3.1500000953674316,60.90999984741211,34.02000045776367,3.1500000953674316,61.38999938964844,34.099998474121094,3.3399999141693115,60.63999938964844,33.09000015258789,3.0899999141693115,61.119998931884766,33.40999984741211,3.259999990463257,1061200,1619500,503700
2019-10-28,57.26179122924805,30.646312713623047,3.069999933242798,61.56999969482422,33.72999954223633,3.069999933242798,61.61000061035156,34.36000061035156,3.140000104904175,60.95000076293945,33.72999954223633,2.9800000190734863,61.099998474121094,34.11000061035156,3.0999999046325684,2796300,2167400,589300
2019-10-29,57.68030548095703,31.046085357666016,3.0999999046325684,62.02000045776367,34.16999816894531,3.0999999046325684,62.16999816894531,34.5,3.140000104904175,61.36000061035156,33.369998931884766,3.0199999809265137,61.380001068115234,33.5099983215332,3.0199999809265137,1400400,2013900,176200
2019-10-30,58.34992599487305,30.473684310913086,3.1700000762939453,62.7400016784668,33.540000915527344,3.1700000762939453,62.95000076293945,34.29999923706055,3.180000066757202,62.15999984741211,33.38999938964844,3.0299999713897705,62.2400016784668,34.15999984741211,3.119999885559082,1329000,2181100,232100
2019-10-31,58.108116149902344,30.173851013183594,3.2699999809265137,62.47999954223633,33.209999084472656,3.2699999809265137,63.619998931884766,33.43000030517578,3.2799999713897705,62.0099983215332,32.70000076293945,3.1600000858306885,63.5,33.41999816894531,3.2699999809265137,1344500,2367200,257600
2019-11-01,58.08021545410156,30.96432113647461,3.390000104904175,62.45000076293945,34.08000183105469,3.390000104904175,62.939998626708984,34.130001068115234,3.4000000953674316,62.06999969482422,33.459999084472656,3.190000057220459,62.90999984741211,33.5099983215332,3.25,3455300,3029500,464900
2019-11-04,58.136016845703125,31.73660659790039,3.3299999237060547,62.5099983215332,34.93000030517578,3.3299999237060547,62.77000045776367,35.27000045776367,3.4000000953674316,62.220001220703125,34.41999816894531,3.2799999713897705,62.560001373291016,34.439998626708984,3.4000000953674316,1715300,3251100,307000
2019-11-05,58.25692367553711,31.663915634155273,2.9700000286102295,62.63999938964844,34.849998474121094,2.9700000286102295,62.849998474121094,35.349998474121094,3.1500000953674316,61.90999984741211,34.72999954223633,2.9200000762939453,62.529998779296875,35.220001220703125,3.0299999713897705,1019700,1734800,744100
2019-11-06,58.396427154541016,31.018829345703125,3.0299999713897705,62.790000915527344,34.13999938964844,3.0299999713897705,63.18000030517578,34.97999954223633,3.059999942779541,62.650001525878906,33.7400016784668,2.9200000762939453,62.86000061035156,34.810001373291016,2.950000047683716,1841400,2665600,414400
