,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,BCE.TO,CNQ.TO,BCE.TO,CNQ.TO,BCE.TO,CNQ.TO,BCE.TO,CNQ.TO,BCE.TO,CNQ.TO,BCE.TO,CNQ.TO
Date,,,,,,,,,,,,
2019-10-18,60.48458480834961,30.155681610107422,64.11000061035156,33.189998626708984,64.37000274658203,33.959999084472656,64.02999877929688,33.130001068115234,64.33999633789062,33.720001220703125,740300,1643500
2019-10-21,60.62610626220703,30.41008186340332,64.26000213623047,33.470001220703125,64.4800033569336,33.619998931884766,63.95000076293945,33.0099983215332,64.11000061035156,33.0099983215332,954200,1813100
2019-10-22,60.295894622802734,30.573631286621094,63.90999984741211,33.650001525878906,64.4000015258789,34.29999923706055,63.900001525878906,33.06999969482422,64.38999938964844,33.54999923706055,1202400,3450100
2019-10-23,57.607059478759766,30.728086471557617,61.060001373291016,33.81999969482422,63.7400016784668,34.11000061035156,61.040000915527344,33.099998474121094,63.54999923706055,33.400001525878906,2881800,1809700
2019-10-24,57.55045700073242,30.437341690063477,61.0,33.5,61.7400016784668,34.04999923706055,60.779998779296875,33.25,61.400001525878906,33.83000183105469,1868700,1529900
2019-10-25,57.46554183959961,30.909801483154297,60.90999984741211,34.02000045776367,61.38999938964844,34.099998474121094,60.63999938964844,33.09000015258789,61.119998931884766,33.40999984741211,1061200,1619500
2019-10-28,58.08822250366211,30.646312713623047,61.56999969482422,33.72999954223633,61.61000061035156,34.36000061035156,60.95000076293945,33.72999954223633,61.099998474121094,34.11000061035156,2796300,2167400
2019-10-29,58.51277160644531,31.046085357666016,62.02000045776367,34.16999816894531,62.16999816894531,34.5,61.36000061035156,33.369998931884766,61.380001068115234,33.5099983215332,1400400,2013900
2019-10-30,59.19205856323242,30.473684310913086,62.7400016784668,33.540000915527344,62.95000076293945,34.29999923706055,62.15999984741211,33.38999938964844,62.2400016784668,34.15999984741211,1329000,2181100
