,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,BCE.TO,CNQ.TO,BCE.TO,CNQ.TO,BCE.TO,CNQ.TO,BCE.TO,CNQ.TO,BCE.TO,CNQ.TO,BCE.TO,CNQ.TO
Date,,,,,,,,,,,,
2019-09-27,60.46571350097656,32.49857711791992,64.08999633789062,35.290000915527344,64.3499984741211,35.68000030517578,63.849998474121094,34.91999816894531,64.29000091552734,35.099998474121094,1893600,2448800
2019-09-30,60.45628356933594,32.46174240112305,64.08000183105469,35.25,64.44000244140625,35.689998626708984,63.95000076293945,35.06999969482422,64.0,35.08000183105469,1321500,3750400
2019-10-01,60.5223274230957,31.40270233154297,64.1500015258789,34.099998474121094,64.47000122070312,35.68000030517578,63.900001525878906,33.95000076293945,63.900001525878906,35.38999938964844,1873700,3376900
2019-10-02,60.39024353027344,30.94225311279297,64.01000213623047,33.599998474121094,64.23999786376953,33.939998626708984,63.560001373291016,33.29999923706055,64.08999633789062,33.75,2399900,3637000
2019-10-03,60.692142486572266,31.034343719482422,64.33000183105469,33.70000076293945,64.45999908447266,34.040000915527344,64.01000213623047,32.970001220703125,64.1500015258789,33.36000061035156,3220000,4736300
2019-10-04,61.09782791137695,31.375080108642578,64.76000213623047,34.06999969482422,64.77999877929688,34.13999938964844,64.16000366210938,33.47999954223633,64.20999908447266,33.84000015258789,2783800,3515300
2019-10-07,60.861961364746094,31.467166900634766,64.51000213623047,34.16999816894531,64.83000183105469,34.63999938964844,64.4000015258789,33.869998931884766,64.5999984741211,34.13999938964844,1520800,1680900
2019-10-08,60.89970397949219,30.177907943725586,64.55000305175781,32.77000045776367,64.80000305175781,33.720001220703125,64.2699966430664,32.75,64.41000366210938,33.58000183105469,1284600,4419600
2019-10-09,61.0883903503418,29.993728637695312,64.75,32.56999969482422,64.83999633789062,33.15999984741211,64.30999755859375,32.2599983215332,64.56999969482422,33.09000015258789,1386300,5065100
